Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,0,25,1,0,10,0,0
1,1,35,1,0,70,1,1
3,1,25,0,0,10,0,1
1,1,35,1,0,50,0,1
3,0,35,0,0,10,0,0
3,0,100,0,0,10,2,0
1,0,55,0,0,50,0,0
3,0,5,3,1,20,0,0
3,1,25,0,2,10,0,1
2,1,15,1,0,30,1,1
3,1,5,1,1,20,0,1
1,1,55,0,0,30,0,1
3,0,25,0,0,10,0,0
3,0,35,1,5,30,0,0
3,1,15,0,0,10,0,0
2,1,55,0,0,20,0,1
3,0,5,4,1,30,2,0
2,0,100,0,0,10,0,1
3,1,35,1,0,20,0,0
3,1,100,0,0,10,1,1
2,0,35,0,0,30,0,0
2,0,35,0,0,10,0,1
3,1,15,0,0,10,2,1
1,0,25,0,0,40,0,1
3,1,5,3,1,20,0,0
3,1,35,1,5,30,0,1
3,0,100,0,0,10,1,0
1,0,15,3,2,200,0,0
3,1,100,0,0,10,2,1
3,0,100,0,0,10,0,0
1,0,45,0,0,30,1,0
1,1,100,1,0,175,1,1
3,1,100,0,0,10,2,1
2,0,65,0,0,10,0,0
1,0,25,1,0,80,1,0
1,0,45,1,0,50,0,0
3,0,100,0,0,10,1,1
3,0,25,0,0,10,0,0
3,1,15,2,0,20,0,0
3,1,15,1,0,10,1,1
3,1,45,1,0,10,0,0
2,1,25,1,0,20,0,0
3,0,100,0,0,10,1,0
2,1,5,1,2,40,1,1
3,1,15,0,0,10,2,1
3,0,100,0,0,10,0,0
3,0,100,1,0,20,2,0
3,1,100,0,0,10,2,1
3,0,100,2,0,20,1,0
3,1,15,1,0,20,0,0
3,0,5,4,1,40,0,0
3,0,25,0,0,10,0,0
1,1,45,1,0,80,1,1
2,1,25,1,0,30,0,1
1,0,65,0,1,60,1,0
1,0,100,0,0,40,0,1
2,1,25,0,0,10,0,1
3,0,25,0,0,10,1,0
2,1,5,1,2,30,0,1
3,0,15,5,2,50,0,0
3,0,25,0,0,10,1,0
1,1,35,0,0,80,0,1
1,0,45,1,0,80,0,0
3,0,5,3,2,30,0,0
1,0,100,0,0,30,1,0
3,0,100,1,1,20,1,1
2,1,25,0,0,10,0,1
3,0,15,0,0,10,0,0
3,1,15,4,2,10,0,1
3,0,25,2,0,10,0,0
2,0,35,0,0,10,0,0
3,1,15,5,2,50,0,0
2,0,25,0,0,70,0,0
3,0,25,1,0,10,1,0
3,0,35,0,0,60,0,1
3,0,25,0,0,10,0,0
3,0,100,0,0,10,0,0
3,0,100,0,0,10,0,0
2,0,75,0,2,30,0,1
3,1,35,0,0,10,0,1
3,0,25,0,0,10,0,0
3,0,25,0,0,10,0,1
3,1,100,0,0,10,2,1
1,0,25,0,0,50,0,0
2,1,15,0,0,10,0,1
3,1,35,3,0,20,0,1
3,0,15,1,3,30,0,0
3,0,100,0,0,10,0,0
1,1,25,3,2,200,0,1
3,0,25,0,0,10,0,0
3,0,25,0,0,10,0,0
3,0,25,0,0,10,0,0
1,0,45,1,0,60,0,0
3,0,25,1,2,20,0,0
3,0,55,0,0,10,0,0
3,0,100,0,0,10,0,0
1,0,75,0,0,30,1,0
1,0,25,0,1,60,1,1
2,1,35,0,1,20,0,1
2,0,35,1,0,30,0,0
3,1,25,0,0,10,0,0
3,0,100,0,0,10,0,0
1,0,25,0,1,80,0,0
3,0,35,0,0,10,0,0
3,0,35,2,0,10,0,0
3,0,25,0,0,10,0,0
3,1,25,0,0,10,0,1
3,0,100,0,0,10,0,1
3,0,35,0,0,10,0,0
3,1,100,1,0,20,2,1
1,0,45,0,0,50,0,0
3,1,15,1,0,10,1,0
3,0,25,0,0,10,0,0
3,1,25,1,0,10,0,0
3,1,15,0,0,10,1,0
3,0,25,0,0,10,0,0
3,0,75,0,0,10,2,0
2,0,25,1,0,20,0,0
1,0,25,0,1,200,1,0
3,1,5,4,2,30,0,0
2,0,25,2,0,70,0,0
3,0,100,0,0,10,0,0
2,0,35,1,0,30,1,0
2,1,35,0,0,10,0,1
1,0,55,0,1,80,0,0
3,0,15,1,0,10,1,1
3,0,100,0,0,10,2,0
3,0,25,0,0,10,0,1
3,1,100,1,1,20,1,1
3,0,45,0,0,10,0,0
3,0,35,0,0,10,1,0
3,0,25,0,0,10,0,0
3,1,45,1,0,10,0,0
2,1,25,1,0,30,0,1
2,0,25,0,0,10,0,0
2,0,25,0,0,20,1,0
1,1,15,0,2,30,0,1
1,0,35,1,0,50,0,0
3,0,15,0,0,10,0,0
1,0,25,0,0,80,1,0
3,1,100,0,2,20,1,0
3,1,25,0,0,10,0,1
3,1,25,1,0,20,0,1
3,0,15,0,0,10,2,0
2,0,15,0,0,10,0,0
2,0,15,1,1,40,0,0
3,0,25,0,0,10,0,1
3,1,5,2,2,30,0,0
2,0,35,0,2,30,0,0
2,0,45,0,0,10,0,0
2,0,55,0,0,10,0,0
1,1,25,1,0,70,0,1
3,0,55,0,0,10,0,0
3,0,45,0,2,10,0,0
3,0,100,0,0,10,0,0
1,0,55,0,1,60,1,0
3,1,15,0,0,10,2,1
3,0,35,0,0,10,0,0
3,0,100,0,0,10,0,0
3,0,100,8,2,70,0,0
3,0,45,0,1,20,0,0
2,1,45,0,0,20,0,1
3,0,25,0,0,10,0,0
3,0,15,0,0,10,0,0
3,0,5,4,1,40,0,0
3,0,5,0,2,20,0,1
1,1,100,0,1,60,0,1
3,1,45,1,4,30,0,0
1,0,100,0,0,30,0,0
3,0,25,0,0,60,0,0
1,0,65,0,0,30,0,0
3,0,5,4,1,30,2,0
3,1,5,1,1,10,0,1
3,0,25,0,0,10,0,0
1,0,55,0,0,30,1,0
3,0,15,1,1,10,0,0
3,0,100,3,1,30,0,0
1,1,55,0,0,30,1,0
2,0,35,0,0,10,0,0
3,0,35,0,0,0,0,0
3,1,100,8,2,70,0,0
2,0,100,0,0,20,1,0
3,0,5,4,2,30,0,0
2,0,5,2,1,40,0,1
3,1,5,0,2,20,0,1
1,0,100,0,0,50,0,0
3,1,100,1,0,20,2,1
1,0,45,0,0,30,0,1
3,0,45,1,1,20,2,0
3,0,35,0,0,10,0,0
2,1,35,0,0,10,0,1
2,0,15,0,0,10,0,0
3,1,15,1,0,10,0,1
2,0,5,1,1,30,0,1
1,1,45,0,0,30,1,1
1,1,55,0,0,175,1,1
3,0,100,0,0,10,2,0
3,0,45,0,1,10,0,0
3,1,100,0,0,10,2,1
2,1,25,0,0,10,0,0
3,0,25,0,0,10,0,0
3,0,100,8,2,70,0,0
3,0,35,0,0,10,0,0
3,0,45,0,0,10,1,0
3,0,15,0,0,10,0,1
3,1,5,0,1,10,0,0
3,0,35,1,0,20,0,0
3,0,25,0,0,20,1,1
3,1,15,0,0,10,2,1
1,0,45,0,0,30,1,1
3,0,25,0,0,10,0,0
2,1,35,0,0,20,0,1
3,0,25,0,0,10,0,0
2,0,35,0,0,10,0,0
3,0,100,1,0,10,2,0
1,1,35,1,0,125,1,1
3,1,25,0,0,10,0,1
2,0,45,1,0,30,0,0
1,1,35,0,0,80,1,1
2,0,35,0,0,10,0,0
3,0,15,0,0,10,0,1
2,0,25,0,0,10,0,0
3,0,55,0,0,10,0,0
3,0,100,0,0,10,0,0
1,0,35,1,0,90,0,1
3,0,25,0,0,10,0,0
2,0,15,0,0,10,0,1
3,0,25,0,0,10,0,0
2,0,15,0,0,10,0,0
3,1,100,3,1,30,0,0
1,1,35,1,0,80,0,1
3,0,25,0,0,10,0,0
2,0,55,0,0,10,0,0
3,1,5,4,2,30,0,1
2,0,25,0,0,10,0,0
3,1,100,0,0,10,0,0
2,0,45,1,0,30,0,0
2,1,5,0,2,30,0,1
2,0,15,0,0,10,0,0
2,0,35,0,0,10,0,0
3,1,100,1,0,10,1,0
3,1,100,1,0,20,2,1
2,0,25,0,0,10,0,0
3,0,25,0,0,10,0,0
3,0,35,0,0,10,1,0
1,0,45,2,0,90,2,0
3,1,25,0,0,10,0,0
2,1,25,0,2,10,0,1
1,0,35,1,1,50,0,1
2,0,55,1,0,30,0,0
3,0,100,0,0,10,0,0
3,1,25,1,1,10,0,0
1,0,65,0,0,30,0,0
3,0,35,1,0,20,0,0
3,1,45,0,2,20,0,0
3,1,25,0,2,20,1,1
1,1,100,0,0,80,1,1
1,1,35,0,0,90,0,1
1,1,35,0,0,200,1,1
2,1,55,0,1,30,0,1
3,0,100,0,0,10,2,0
3,0,5,4,2,30,0,1
1,0,55,1,1,80,0,0
1,0,45,0,0,0,0,0
3,1,100,0,0,10,2,0
2,0,35,0,0,10,0,0
3,0,15,4,1,40,0,0
3,0,25,1,0,10,0,1
1,1,55,0,1,175,0,1
1,1,35,0,0,125,0,1
1,0,100,0,0,30,0,0
3,0,25,0,0,0,0,1
2,1,45,0,1,20,0,1
1,0,35,0,1,30,1,0
3,1,100,0,0,10,2,1
1,1,65,1,0,80,0,1
3,1,45,0,0,10,0,0
2,0,100,0,0,0,0,0
3,0,5,4,1,30,2,0
3,1,35,1,1,20,0,1
3,0,65,0,0,10,2,0
3,0,25,0,0,10,0,0
3,0,15,0,0,10,0,0
3,0,15,0,0,10,0,1
1,0,100,0,0,30,0,0
3,0,35,0,0,10,1,0
3,0,35,0,0,10,0,1
3,0,25,0,0,10,0,0
2,0,45,0,0,10,0,1
3,1,25,0,0,10,2,1
1,1,25,0,0,80,0,1
1,1,15,1,0,90,1,1
2,0,35,0,0,10,1,0
3,1,25,0,0,10,0,0
3,0,25,0,0,10,0,0
1,0,100,0,0,30,1,0
3,0,25,0,0,10,1,0
1,1,5,1,2,175,0,0
1,0,100,0,0,30,0,1
1,1,55,0,1,200,1,1
3,1,100,0,0,10,2,1
3,0,100,2,0,20,2,1
3,0,15,0,0,0,0,0
2,1,100,0,0,10,2,1
3,0,100,0,0,10,0,0
1,0,5,1,2,175,0,1
1,1,100,0,0,125,1,1
1,1,15,1,0,125,1,1
2,0,35,1,0,20,1,0
1,1,35,0,0,60,1,1
1,1,25,0,0,80,1,1
1,1,15,2,2,200,1,1
2,1,25,1,1,30,0,0
3,0,25,0,0,10,0,0
2,0,45,1,1,30,0,0
3,1,25,0,0,10,0,1
2,1,25,1,0,30,0,1
2,0,55,0,0,10,0,0
1,1,35,0,2,175,0,1
1,1,45,1,1,125,1,1
3,0,25,0,0,10,0,0
3,0,25,0,0,10,0,0
2,1,35,0,0,10,2,1
2,1,25,1,1,30,0,1
3,0,100,8,2,70,0,0
1,1,35,0,0,125,1,1
3,0,65,0,0,10,0,0
2,1,35,0,0,10,0,1
3,1,35,1,1,20,0,1
1,1,15,0,1,60,1,1
3,1,100,2,0,20,2,1
1,0,45,0,0,30,0,0
1,0,35,0,1,175,0,0
3,0,15,2,0,20,0,0
1,1,100,1,0,125,0,1
3,0,100,0,0,10,0,0
1,0,25,1,0,70,0,0
1,1,45,0,0,125,1,1
3,0,45,0,0,10,0,1
1,0,45,0,0,40,0,0
2,0,5,1,1,30,0,1
1,1,25,3,2,200,0,1
2,0,25,0,0,10,0,0
2,0,25,0,0,10,0,0
2,0,35,0,0,10,0,0
2,1,25,0,0,10,0,1
2,1,45,0,0,10,0,1
3,1,100,1,0,20,0,1
3,0,5,1,1,20,0,1
3,0,45,0,0,10,0,0
3,0,25,0,0,10,0,0
1,0,100,0,0,40,0,0
3,0,15,1,1,10,1,0
3,0,25,1,0,20,0,0
3,0,100,0,0,10,1,0
3,0,25,0,0,10,0,0
1,1,25,0,1,60,0,1
2,1,35,0,0,10,0,0
3,1,100,0,0,10,2,1
3,1,100,0,0,10,2,1
3,0,45,1,4,30,0,0
2,0,25,1,0,30,1,0
3,1,45,0,1,10,1,0
3,0,35,0,0,10,0,0
3,0,100,1,0,20,2,0
3,0,35,0,0,10,0,0
1,1,65,1,0,80,1,1
3,1,100,0,0,10,1,1
3,1,100,0,0,10,2,1
1,1,25,0,0,70,1,1
1,0,25,1,0,60,1,1
3,0,15,1,0,10,0,0
3,0,15,0,0,10,0,0
1,0,25,0,0,125,1,0
3,1,5,3,1,20,0,0
1,1,100,1,0,80,1,1
3,1,25,0,0,10,0,1
1,0,25,0,2,200,1,0
3,0,25,0,0,0,1,0
3,0,15,0,0,10,0,0
1,1,45,0,0,200,1,1
3,1,5,0,2,20,1,1
3,0,35,0,0,10,0,0
1,1,35,1,0,50,0,1
3,0,100,0,0,10,0,0
2,0,15,0,0,70,0,0
3,0,5,5,2,50,0,0
2,1,35,0,0,10,0,1
3,0,100,0,0,10,2,0
2,1,15,0,0,10,1,1
1,0,35,1,2,125,0,1
3,0,25,0,0,10,0,1
3,0,25,2,0,10,0,0
1,1,25,1,0,125,1,1
3,1,25,0,2,20,0,1
3,0,25,0,0,10,0,0
3,1,35,0,0,10,0,0
2,0,45,0,0,30,0,0
2,0,25,0,0,10,0,0
2,1,25,0,0,10,0,1
3,0,35,0,0,10,0,1
3,0,25,0,0,10,0,0
3,1,25,1,0,10,0,0
3,0,25,1,0,20,0,0
3,1,25,0,0,10,0,0
2,0,35,1,0,20,0,0
3,0,55,0,0,10,0,0
2,0,5,1,1,20,0,1
3,0,25,0,0,10,0,0
3,1,100,3,1,30,0,0
3,0,100,0,0,10,0,0
3,0,100,0,0,10,2,0
1,1,35,1,0,90,2,1
2,0,100,0,0,0,0,0
3,0,45,0,0,10,0,1
3,1,100,0,0,10,0,0
2,1,35,1,1,30,0,1
2,1,15,0,2,10,0,1
2,0,35,0,0,10,0,0
3,1,15,0,2,20,0,0
3,0,100,0,0,10,1,0
3,0,25,0,0,10,2,0
3,0,25,0,0,10,0,0
3,1,25,1,1,10,0,0
3,0,15,1,1,20,0,0
3,0,100,0,0,10,0,0
2,1,25,1,0,30,0,1
2,1,15,0,0,30,0,1
3,0,100,0,0,10,2,0
3,0,35,0,0,10,0,1
1,0,25,0,0,30,0,1
3,1,100,1,0,20,0,1
2,1,45,1,0,30,0,1
3,0,15,0,0,10,0,0
1,0,55,1,0,60,0,0
1,1,15,1,2,125,0,1
3,1,25,2,2,30,0,0
2,1,25,2,3,20,0,1
1,0,65,1,4,200,0,0
2,0,35,0,0,10,0,0
2,1,45,1,1,30,0,1
3,0,25,0,0,10,0,0
3,0,25,1,0,10,0,0
2,1,25,0,0,10,0,1
3,0,100,0,0,10,0,1
1,0,5,0,2,80,0,1
2,1,15,0,1,20,0,1
1,0,35,0,0,30,0,1
3,1,5,2,1,20,1,1
1,0,55,0,0,30,0,1
2,0,35,1,2,30,0,0
3,0,100,1,0,20,0,0
1,0,35,0,0,30,1,0
1,0,45,1,0,90,1,1
3,0,100,0,0,10,0,0
3,0,25,0,0,10,1,1
1,0,65,0,0,30,0,0
1,1,100,1,0,50,0,1
2,1,55,0,0,10,0,1
3,0,100,0,0,10,2,0
1,0,45,0,0,30,0,1
3,0,35,0,0,10,0,0
1,0,45,0,0,40,0,0
2,0,45,0,0,10,0,0
3,0,100,0,0,10,0,0
3,0,35,0,0,10,0,0
2,0,100,0,0,0,0,0
1,0,55,0,0,30,0,0
3,0,100,0,0,10,2,0
3,1,5,2,1,20,1,1
3,0,100,0,0,10,0,0
3,0,35,0,0,10,0,0
2,1,35,1,2,30,0,1
2,1,25,0,0,10,1,1
3,1,25,0,0,10,0,0
1,0,100,0,0,50,0,0
2,0,35,1,0,20,0,0
3,0,25,1,0,10,0,0
3,0,25,0,0,10,0,0
3,1,5,0,1,10,0,1
3,0,5,5,2,50,0,0
2,0,100,0,0,0,0,0
3,0,55,0,0,10,0,0
3,1,65,0,0,10,0,1
1,0,25,1,0,90,1,1
3,1,100,3,1,30,0,0
1,1,35,1,0,90,0,1
1,0,55,0,0,30,1,0
3,0,35,0,0,10,0,0
3,0,5,1,1,20,0,1
3,0,100,1,0,20,0,0
3,0,25,0,0,10,0,0
1,0,55,0,0,30,0,0
1,0,75,0,0,50,1,0
3,0,25,0,0,10,0,0
3,0,100,0,0,10,1,0
1,1,55,1,0,80,1,1
3,0,100,0,0,20,0,0
1,1,25,1,2,175,0,0
3,0,25,0,0,10,0,0
3,0,15,0,0,10,0,0
3,1,25,0,0,10,2,0
3,1,100,0,0,10,2,0
3,1,35,0,0,10,0,0
1,1,15,0,0,90,0,1
1,0,15,1,0,125,1,0
2,1,35,0,2,30,0,1
1,0,100,0,0,30,0,1
3,0,25,0,0,20,0,0
3,0,25,0,0,60,0,1
3,0,25,0,0,10,2,1
3,0,100,0,0,10,0,0
1,0,35,0,0,30,0,1
1,1,55,1,0,60,1,1
3,0,25,0,0,10,0,0
1,0,45,0,0,30,0,0
2,1,35,0,0,10,0,1
3,0,100,0,0,20,2,0
2,1,35,1,0,30,0,1
3,0,35,0,0,10,0,0
1,1,35,0,0,90,0,1
3,0,25,0,0,10,0,0
3,0,100,0,0,10,1,0
1,1,45,0,1,60,1,1
3,0,100,0,0,10,1,0
3,0,45,0,0,10,2,0
2,1,55,0,0,10,0,1
1,0,100,0,0,200,0,0
3,0,35,0,0,10,0,0
2,0,25,2,1,10,0,0
2,1,5,1,1,30,0,1
3,0,100,0,0,10,1,0
3,0,15,1,1,10,1,0
3,1,100,0,2,20,1,1
3,1,35,0,0,10,0,0
2,1,5,0,2,30,0,1
1,0,45,0,0,30,0,0
1,1,35,0,0,125,1,1
3,0,100,0,0,10,0,0
1,1,25,0,2,50,1,1
1,1,35,0,2,70,0,1
3,1,5,4,2,30,0,0
3,1,15,4,2,30,0,0
2,0,35,1,0,30,0,1
1,0,55,1,0,125,1,0
1,0,65,0,0,30,0,0
2,1,15,1,0,30,0,1
2,0,100,0,0,10,1,1
3,0,35,1,1,20,0,0
2,0,5,1,1,40,0,1
1,0,15,0,2,125,1,1
2,0,25,0,0,30,0,0
3,0,100,0,0,10,2,0
3,0,25,0,0,10,1,1
3,1,25,0,0,10,0,1
1,0,65,0,0,30,0,0
1,1,45,1,0,40,1,1
1,0,100,0,0,200,1,0
1,1,35,1,1,80,0,1
3,1,35,1,0,20,0,1
3,0,100,0,0,10,2,0
3,0,45,0,0,10,0,0
2,0,25,0,0,10,0,0
3,0,100,0,0,10,0,0
3,1,100,0,0,10,0,0
3,0,25,2,0,20,0,0
3,0,15,0,0,10,0,0
3,1,25,0,4,20,0,0
3,0,100,0,0,10,1,0
3,0,35,0,0,10,0,1
2,0,65,0,0,10,0,1
1,1,55,2,0,50,0,1
1,0,35,0,0,30,0,1
3,1,100,0,0,10,2,1
3,0,15,0,0,10,0,0
3,0,15,0,0,10,0,0
2,1,35,0,0,10,0,1
1,1,35,1,0,60,0,1
3,1,100,1,0,10,1,0
3,0,35,0,0,10,0,1
2,1,25,1,1,30,0,1
1,1,35,1,1,125,1,1
2,0,55,0,0,30,0,0
1,0,35,0,0,40,1,0
3,0,100,0,0,10,1,0
1,1,15,0,2,80,0,1
2,0,45,0,0,20,0,0
1,0,65,1,1,80,1,1
3,0,25,0,0,10,0,0
3,0,100,0,0,10,0,0
3,0,35,0,0,10,0,0
1,1,55,1,0,80,1,1
3,0,45,0,0,10,0,0
3,1,100,0,2,10,2,0
2,0,35,1,0,30,0,0
3,0,35,1,1,20,0,0
2,1,100,0,0,30,0,1
3,0,45,0,0,0,0,0
3,0,100,0,0,10,1,0
1,0,45,1,0,60,1,1
2,1,25,2,1,30,0,1
3,0,100,0,0,10,0,0
1,0,100,0,0,40,0,0
3,0,45,0,0,10,0,0
1,0,35,0,0,30,1,1
3,0,35,1,0,20,0,0
3,0,35,0,0,10,0,0
1,0,25,0,0,30,0,1
2,1,25,1,2,40,1,1
1,1,45,0,0,175,0,1
3,1,35,1,5,30,0,0
3,0,100,0,0,10,0,0
3,1,100,1,0,20,2,1
3,0,100,0,0,10,2,0
3,0,35,0,0,10,0,0
2,1,25,1,2,70,0,1
3,0,35,1,1,10,0,0
3,1,25,1,0,20,0,0
2,1,5,2,1,40,0,1
2,0,25,0,0,10,0,0
3,0,25,1,0,10,1,0
1,0,45,1,0,50,0,1
3,0,25,1,1,20,1,1
3,0,25,0,0,10,0,0
3,0,25,0,0,20,0,0
1,0,65,0,0,30,0,0
2,0,55,0,0,10,2,0
1,1,25,0,0,80,0,1
3,0,25,0,0,10,0,0
3,0,100,0,0,10,2,0
1,0,75,0,0,30,0,1
3,0,55,0,0,10,0,0
1,0,35,0,0,30,1,1
1,0,100,0,0,0,0,0
3,1,5,3,2,30,0,0
2,1,25,0,0,10,0,1
3,0,35,0,0,10,0,0
2,0,35,1,1,30,0,0
3,1,45,0,5,40,0,0
3,0,100,1,0,20,0,0
3,0,25,0,0,10,0,0
1,1,25,0,0,70,1,1
3,1,5,3,2,30,0,0
3,0,100,0,0,60,0,1
3,1,5,2,1,20,1,1
1,0,45,1,0,80,1,1
3,0,15,0,0,10,0,0
1,0,55,0,0,40,1,1
3,0,100,0,0,10,0,0
3,1,25,0,0,10,0,1
3,0,100,0,0,10,0,0
2,1,15,0,1,20,0,1
3,0,25,0,0,10,0,0
3,1,100,0,0,10,2,1
3,1,15,0,0,10,2,0
2,0,25,2,0,70,0,0
3,0,100,0,0,10,0,0
3,1,35,1,1,20,2,0
2,0,25,0,0,10,0,0
1,0,55,0,2,125,1,0
1,0,55,2,0,125,0,1
3,0,45,0,0,10,1,0
1,0,45,0,0,30,0,0
3,0,35,0,0,10,0,0
3,0,25,1,0,10,0,1
2,0,35,2,0,70,0,0
2,0,25,0,0,10,0,0
3,0,100,0,0,10,0,0
3,0,45,0,0,10,0,0
1,1,100,1,0,50,0,1
2,1,45,1,1,40,0,1
1,0,35,1,0,50,0,0
2,0,75,0,0,10,0,0
2,0,35,0,0,10,0,1
2,0,100,0,0,0,0,0
3,0,15,0,0,10,0,0
3,0,25,0,0,10,0,0
3,1,15,0,0,10,0,1
3,1,45,1,6,50,0,0
1,0,35,0,1,200,1,1
3,1,100,0,0,10,2,0
1,0,25,0,0,80,1,1
3,0,25,0,0,10,0,0
3,0,15,5,2,50,0,0
2,0,65,1,1,40,0,0
2,0,25,1,2,40,1,0
3,0,15,4,1,40,0,0
3,0,15,0,0,10,0,0
3,0,15,0,0,10,0,0
1,1,15,0,1,200,0,1
1,0,35,1,0,60,0,1
3,1,5,0,1,10,1,1
3,0,100,0,0,60,0,1
3,0,25,0,0,10,1,0
1,0,65,0,0,30,0,0
2,0,55,0,0,10,0,0
3,0,45,0,0,10,0,0
3,1,100,0,0,10,2,1
1,0,45,1,1,125,1,0
